date,value
2020-01-01,1200.0
2020-01-02,1173.961532204069
2020-01-03,1181.8275341303947
2020-01-04,1188.798132384124
2020-01-05,1213.432511232677
2020-01-06,1199.776832985053
2020-01-07,1187.5972767596463
2020-01-08,1127.4756442271785
2020-01-09,1149.4557669598144
2020-01-10,1139.9993166238316
2020-01-11,1123.5345072233572
2020-01-12,1109.8113289882401
2020-01-13,1123.495083223757
2020-01-14,1126.5826191259325
2020-01-15,1115.3632162985389
2020-01-16,1102.3839140223001
2020-01-17,1123.8090197856802
2020-01-18,1101.4117675003047
2020-01-19,1098.183744924276
2020-01-20,1093.4837113228589
2020-01-21,1102.3625434016094
2020-01-22,1165.700162343166
2020-01-23,1194.2217269532173
2020-01-24,1199.8151041135375
2020-01-25,1221.5281853143279
2020-01-26,1197.4819521773472
2020-01-27,1160.5048136892692
2020-01-28,1130.0044070046358
2020-01-29,1110.6103259341703
2020-01-30,1123.9532558605727
2020-01-31,1144.4304990006976
2020-02-01,1140.0405303167465
2020-02-02,1126.2508298705582
2020-02-03,1093.1147620605104
2020-02-04,1117.7571585152427
2020-02-05,1144.7868556453368
2020-02-06,1124.7427115026217
2020-02-07,1101.9680428521133
2020-02-08,1100.6287816599838
2020-02-09,1134.3846226824726
2020-02-10,1142.4258570055301
2020-02-11,1133.6938309187747
2020-02-12,1132.6543910606463
2020-02-13,1101.2973429738558
2020-02-14,1124.8376564950272
2020-02-15,1113.21295790436
2020-02-16,1080.7435899289194
2020-02-17,1076.490362310175
2020-02-18,1067.6593287704036
2020-02-19,1078.7442959257764
2020-02-20,1104.3549499205187
2020-02-21,1135.4154866283452
2020-02-22,1139.7508858466915
2020-02-23,1134.2562090424485
2020-02-24,1126.2804871702433
2020-02-25,1068.3517906046272
2020-02-26,1076.0828287079853
2020-02-27,1086.2008657474955
2020-02-28,1082.9241682602615
2020-02-29,1063.0092587326385
2020-03-01,1093.6087244146513
2020-03-02,1093.5310633564238
2020-03-03,1057.8535217157928
2020-03-04,1060.3391706112227
2020-03-05,1051.5199023987923
2020-03-06,1061.9339486027352
2020-03-07,1056.7637296352937
2020-03-08,1064.2896400694049
2020-03-09,1064.4518469784716
2020-03-10,1048.3874763077868
2020-03-11,1065.0439479438105
2020-03-12,1095.7293012431894
2020-03-13,1127.0083963105276
2020-03-14,1116.2758775643001
2020-03-15,1137.4185759461675
2020-03-16,1177.2643350215765
2020-03-17,1198.3734453087966
2020-03-18,1214.3960921578375
2020-03-19,1185.4108685424633
2020-03-20,1200.5747534292357
2020-03-21,1197.0756877530987
2020-03-22,1188.9216921357577
2020-03-23,1202.5799307149498
2020-03-24,1236.2058886317664
2020-03-25,1300.9960664598975
2020-03-26,1264.4400135048422
2020-03-27,1295.3020254181426
2020-03-28,1311.7953683739863
2020-03-29,1344.5214158278673
2020-03-30,1351.02544157147
2020-03-31,1374.5300888054098
2020-04-01,1379.7586317619803
2020-04-02,1346.9886637978293
2020-04-03,1367.332146241803
2020-04-04,1341.8799218877828
2020-04-05,1363.1130683291271
2020-04-06,1398.5540692217971
2020-04-07,1374.9069737971156
2020-04-08,1379.3374986543515
2020-04-09,1404.2126881570268
2020-04-10,1397.9192642614557
2020-04-11,1476.9414098866816
2020-04-12,1480.157710196374
2020-04-13,1452.3578373861671
2020-04-14,1481.4656925695244
2020-04-15,1478.235701017233
2020-04-16,1500.7366673493266
2020-04-17,1487.6636280996681
2020-04-18,1511.4173460825557
2020-04-19,1484.1272929477307
2020-04-20,1469.4197744788805
2020-04-21,1488.500310994018
2020-04-22,1542.3818228872383
2020-04-23,1575.8208798014175
2020-04-24,1577.91372488358
2020-04-25,1548.401928638439
2020-04-26,1592.2744684582224
2020-04-27,1602.4800489308657
2020-04-28,1611.2279813209566
2020-04-29,1658.7158790208664
2020-04-30,1659.456042805648
2020-05-01,1667.683915326643
2020-05-02,1674.0727086694344
2020-05-03,1680.1109975080199
2020-05-04,1652.0902144207844
2020-05-05,1594.5177712060922
2020-05-06,1606.4350087292123
2020-05-07,1578.4684446354631
2020-05-08,1568.4042373581387
2020-05-09,1586.2142780438933
2020-05-10,1546.8688390083282
2020-05-11,1623.0604002883415
2020-05-12,1684.5218891306424
2020-05-13,1685.5377355500661
2020-05-14,1701.0166880940437
2020-05-15,1686.4675751846228
2020-05-16,1631.5875568018114
2020-05-17,1607.0771920801365
2020-05-18,1661.8694694490116
2020-05-19,1672.9666637248592
2020-05-20,1620.3690786396044
2020-05-21,1633.1323778761061
2020-05-22,1688.476924799024
2020-05-23,1664.478841938972
2020-05-24,1622.8983764286136
2020-05-25,1615.6960147204618
2020-05-26,1677.837809448951
2020-05-27,1635.4321752995468
2020-05-28,1632.4871760410451
2020-05-29,1684.1585795467004
2020-05-30,1729.844216010962
2020-05-31,1732.389265380022
2020-06-01,1816.2273635258393
2020-06-02,1809.4308023940066
2020-06-03,1812.179481194483
2020-06-04,1745.2236515125178
2020-06-05,1791.0347576519875
2020-06-06,1816.3527374233295
2020-06-07,1819.47854863842
2020-06-08,1802.4039343592522
2020-06-09,1810.4460623518858
2020-06-10,1788.5916364827428
2020-06-11,1776.4531109823288
2020-06-12,1789.8986897149052
2020-06-13,1811.373329230259
2020-06-14,1832.0215755257987
2020-06-15,1806.728017183928
2020-06-16,1743.7954867158635
2020-06-17,1702.2529693267372
2020-06-18,1756.4765553193354
2020-06-19,1741.6265714501067
2020-06-20,1742.572409819452
2020-06-21,1775.853406186796
2020-06-22,1767.9074289338546
2020-06-23,1798.9013147790845
2020-06-24,1789.7130300991562
2020-06-25,1768.4322063796048
2020-06-26,1837.9296497368662
2020-06-27,1878.0693156739812
2020-06-28,1924.4548789009798
2020-06-29,1879.5070564808102
2020-06-30,1853.9650334360815
2020-07-01,1854.1943072129534
2020-07-02,1843.320225296482
2020-07-03,1873.7554458430075
2020-07-04,1897.470158934307
2020-07-05,1950.292028189918
2020-07-06,1934.0438137964359
2020-07-07,1942.526617409015
2020-07-08,1988.4920597846617
2020-07-09,1970.1879769677842
2020-07-10,1944.7713437629316
2020-07-11,1998.9991622571217
2020-07-12,1919.7694826994677
2020-07-13,1981.602306892067
2020-07-14,1970.2477150146417
2020-07-15,1970.6590341898955
2020-07-16,2022.0074123594816
2020-07-17,2054.038896904277
2020-07-18,1996.1011421528415
2020-07-19,1963.2732597098245
2020-07-20,1966.6000013428647
2020-07-21,2006.2679405249198
2020-07-22,2025.970404614782
2020-07-23,2028.7823986670287
2020-07-24,2011.9350400424632
2020-07-25,2088.813717574879
2020-07-26,2084.8098808992077
2020-07-27,2126.5561694542375
2020-07-28,2120.49461458202
2020-07-29,2064.4177205429105
2020-07-30,1987.5328203330487
2020-07-31,2002.5945402583138
2020-08-01,2033.1429973963736
2020-08-02,2094.711935154557
2020-08-03,2092.257905693973
2020-08-04,2081.1058200698403
2020-08-05,2094.0687570847267
2020-08-06,2049.225731431213
2020-08-07,2061.1719586113736
2020-08-08,2073.3158668095766
2020-08-09,2069.4370637176503
2020-08-10,2067.76212044476
2020-08-11,2132.066266545779
2020-08-12,2146.075354043106
2020-08-13,2133.3217737917075
2020-08-14,2066.7923451368624
2020-08-15,2011.5911209588924
2020-08-16,2033.8607773820625
2020-08-17,2001.0618926989957
2020-08-18,1989.5345109896498
2020-08-19,1994.708504558376
2020-08-20,2058.1822364476475
2020-08-21,2101.5071560938422
2020-08-22,2109.13211578312
2020-08-23,2173.5405912953
2020-08-24,2212.7010198145676
2020-08-25,2138.0548949407275
2020-08-26,2201.377418910329
2020-08-27,2210.869666405559
2020-08-28,2117.5687949386675
2020-08-29,2160.1973500922086
2020-08-30,2175.184730391172
2020-08-31,2175.1969872160084
2020-09-01,2210.784296503368
2020-09-02,2211.173466828794
2020-09-03,2229.7416831649953
2020-09-04,2224.9345856665923
2020-09-05,2222.252769482713
2020-09-06,2174.494892623062
2020-09-07,2196.466361647174
2020-09-08,2289.3128841775238
2020-09-09,2275.4197066200777
2020-09-10,2239.280346465323
2020-09-11,2215.047904292549
2020-09-12,2153.064665715663
2020-09-13,2145.4763377778377
2020-09-14,2141.748617519704
2020-09-15,2144.1973531275416
2020-09-16,2181.673784592515
2020-09-17,2155.418919465142
2020-09-18,2132.5949020647736
2020-09-19,2081.478423459456
2020-09-20,2056.1759815806836
2020-09-21,1968.5659567948574
2020-09-22,2002.9746063734037
2020-09-23,1964.376047642892
2020-09-24,1927.1250692568951
2020-09-25,1930.7701021187293
2020-09-26,1900.2944028416168
2020-09-27,1866.7855328485264
2020-09-28,1828.1284391822405
2020-09-29,1804.9001393167512
2020-09-30,1813.3386794595347
2020-10-01,1847.218516085771
2020-10-02,1815.7552928832592
2020-10-03,1816.1803775258422
2020-10-04,1800.7900961495984
2020-10-05,1859.2371599866074
2020-10-06,1912.441911677701
2020-10-07,1863.558677956259
2020-10-08,1865.1504985442623
2020-10-09,1870.4687271382488
2020-10-10,1853.965498272516
2020-10-11,1831.4481615596187
2020-10-12,1801.8885757170717
2020-10-13,1782.8833969170141
2020-10-14,1696.3463785949273
2020-10-15,1720.24993825991
2020-10-16,1734.249332845697
2020-10-17,1731.8262402738474
2020-10-18,1707.4421740074772
2020-10-19,1689.8585715563108
2020-10-20,1760.8757134342018
2020-10-21,1819.3940259372905
2020-10-22,1799.506305933346
2020-10-23,1764.3307117480285
2020-10-24,1748.7461279072274
2020-10-25,1738.573074753389
2020-10-26,1699.9211544152336
2020-10-27,1709.561189993933
2020-10-28,1705.0009969296405
2020-10-29,1691.67048380233
2020-10-30,1671.9274442174406
2020-10-31,1698.052729012541
2020-11-01,1674.1663825923874
2020-11-02,1758.2030988142883
2020-11-03,1764.7109453150424
2020-11-04,1768.3992962240554
2020-11-05,1786.280752920307
2020-11-06,1844.1866653070283
2020-11-07,1822.9353424989406
2020-11-08,1845.0651671189496
2020-11-09,1865.7894495184692
2020-11-10,1905.382316275677
2020-11-11,1895.6818953218115
2020-11-12,1932.5317904691797
2020-11-13,1907.1360974401996
2020-11-14,1824.4819673229867
2020-11-15,1768.2512334431024
2020-11-16,1769.3497794602795
2020-11-17,1801.7534673462894
2020-11-18,1805.744095608117
2020-11-19,1812.2635349745524
2020-11-20,1833.552550207801
2020-11-21,1852.8832355613113
2020-11-22,1900.257631856413
2020-11-23,1882.3887315818395
2020-11-24,1898.2226165706995
2020-11-25,1957.0014114367475
2020-11-26,1973.3924138671305
2020-11-27,2025.4534441252817
2020-11-28,2008.1237880234626
2020-11-29,2047.824179678719
2020-11-30,2088.714912947183
2020-12-01,2022.2376403928201
2020-12-02,2034.2433417301581
2020-12-03,2041.8082485308237
2020-12-04,2076.8391937745014
2020-12-05,2084.9768172846498
2020-12-06,2198.8382837373356
2020-12-07,2279.309258846226
2020-12-08,2307.0691040107786
2020-12-09,2319.3403455940443
2020-12-10,2267.7490302558354
2020-12-11,2276.787344609827
2020-12-12,2282.034338285284
2020-12-13,2401.614262943697
2020-12-14,2427.6414132087384
2020-12-15,2480.94640797667
2020-12-16,3597.8371668572863
2020-12-17,3658.6575467085822
2020-12-18,3665.1257615659842
2020-12-19,3641.6867055637213
2020-12-20,3766.429179891513
2020-12-21,3749.087676791249
2020-12-22,3729.812830102422
2020-12-23,3713.739654994735
2020-12-24,3766.941840913522
2020-12-25,3747.8626432055157
2020-12-26,3666.9314586037203
2020-12-27,3861.7575109504787
2020-12-28,3867.4940393588604
2020-12-29,3884.011290948938
2020-12-30,3873.9755328346705
2020-12-31,3872.6002623157187
2021-01-01,3831.8882156461923
2021-01-02,3813.540962664225
2021-01-03,3931.17358651033
2021-01-04,4031.585438594314
2021-01-05,3868.9838558862657
2021-01-06,3762.71837828722
2021-01-07,3705.74876957201
2021-01-08,3776.8823842092606
2021-01-09,3875.326840339654
2021-01-10,3932.846431043755
2021-01-11,3846.18755027233
2021-01-12,3807.192365995474
2021-01-13,3845.791743705561
2021-01-14,3828.499645342243
2021-01-15,3801.0470672257093
2021-01-16,3774.837175554978
2021-01-17,3864.5445887420747
2021-01-18,3911.8322512529007
2021-01-19,3888.8556691876493
2021-01-20,3915.4787277093583
2021-01-21,3819.865951700733
2021-01-22,3781.273548252224
2021-01-23,3862.6020204298325
2021-01-24,3745.3252841972276
2021-01-25,3792.133048806201
2021-01-26,3638.567580398563
2021-01-27,3765.2686364750057
2021-01-28,3725.573605237063
2021-01-29,3756.559644000439
2021-01-30,3766.2812289615426
2021-01-31,3778.753292568706
2021-02-01,3803.227977215153
2021-02-02,3676.4470342217137
2021-02-03,3690.13895578042
2021-02-04,3677.6885668667855
2021-02-05,3639.292353621811
2021-02-06,3584.156497997219
2021-02-07,3599.3024579135003
2021-02-08,3530.6168807985805
2021-02-09,3605.122397071054
2021-02-10,3640.451352276189
2021-02-11,3660.2383437124863
2021-02-12,3734.0076214202086
2021-02-13,3600.1107237207116
2021-02-14,3510.200162634625
2021-02-15,3547.794854204163
2021-02-16,3497.7201354933504
2021-02-17,3456.23902311062
2021-02-18,3361.3671745183055
2021-02-19,3297.386956132909
2021-02-20,3368.6199808543533
2021-02-21,3403.0412506143753
2021-02-22,3416.6694780405237
2021-02-23,3378.5731764748416
2021-02-24,3387.8438260672992
2021-02-25,3467.656987140564
2021-02-26,3420.2567369768954
2021-02-27,3418.8896948605006
2021-02-28,3543.2056224405515
2021-03-01,3594.794760073237
2021-03-02,3555.6488480823373
2021-03-03,3601.2239107315
2021-03-04,3490.933812545419
2021-03-05,3486.786714451505
2021-03-06,3531.3987603779156
2021-03-07,3559.4213833176223
2021-03-08,3604.235615733335
2021-03-09,3665.952369647694
2021-03-10,3700.8841792220205
2021-03-11,3733.940546688951
2021-03-12,3750.6076864933675
2021-03-13,3671.4869583688774
2021-03-14,3750.764938737212
2021-03-15,3748.9233787690914
2021-03-16,3801.511359004281
2021-03-17,3874.6850800319457
2021-03-18,3836.0511658607015
2021-03-19,3804.0016206467626
2021-03-20,3781.686704589705
2021-03-21,3879.0304980004066
2021-03-22,3811.3867706770066
2021-03-23,3924.475306419765
2021-03-24,3941.115314254301
2021-03-25,3963.4099897702404
2021-03-26,4035.7710711494824
2021-03-27,4043.631033346737
2021-03-28,4131.963288148306
2021-03-29,4090.6623366715685
2021-03-30,4208.868498017745
2021-03-31,4172.785489179211
2021-04-01,4297.147735872317
2021-04-02,4262.465501241031
2021-04-03,4239.782865006582
2021-04-04,4156.732219854933
2021-04-05,4094.617433925561
2021-04-06,4093.0057095509314
2021-04-07,4113.457382255498
2021-04-08,4196.497862067761
2021-04-09,4179.8299262130795
2021-04-10,4088.246370201688
2021-04-11,4120.870027093609
2021-04-12,4135.852015122544
2021-04-13,4178.040606190015
2021-04-14,4126.326659284821
2021-04-15,4083.9621947889373
2021-04-16,4033.4411734886344
2021-04-17,4131.746634232752
2021-04-18,4252.088680245508
2021-04-19,4205.088714189946
2021-04-20,4160.149160946346
2021-04-21,4214.409833957184
2021-04-22,4348.190015012117
2021-04-23,4508.55734628851
2021-04-24,4454.975001898996
2021-04-25,4421.890937256531
2021-04-26,4448.579030858425
2021-04-27,4479.779659529075
2021-04-28,4465.293374417625
2021-04-29,4395.885424564601
2021-04-30,4394.292031499034
2021-05-01,4556.2394006891745
2021-05-02,4510.66848093694
2021-05-03,4532.261868043814
2021-05-04,4768.633433945449
2021-05-05,4719.68658806848
2021-05-06,4785.929344163313
2021-05-07,4967.488462613611
2021-05-08,5028.026038837377
2021-05-09,5142.305609705472
2021-05-10,5228.953616416582
2021-05-11,5283.858806424421
